Year,Tournamment,Champion,G,PB,B,GP,By,W,L,WR,K,D,A,KDA,CS,CS/M,G.1,G/M,KPAR,KS,GS,As,total_games,%B,%P,Date
2018,Spring_Season,Ryze,124,92.5,56,68,10,38,30,55.9,3.65,2.5,4.76,3.36,315.03,9.83,11.31,365.94,64.6,28.0,19.94,"['Mid Laner', 'Top Laner']",134,41.79,50.75,2018-03-19
2018,Spring_Season,Camille,121,90.3,79,42,15,22,20,52.4,3.38,3.07,4.29,2.5,245.29,8.07,12.1,398.0,59.7,26.3,21.0,"['Top Laner', 'Jungler']",134,58.96,31.34,2018-01-30
2018,Spring_Season,Tahm Kench,117,87.3,77,40,11,22,18,55.0,0.75,2.55,7.48,3.23,72.93,2.34,11.31,365.94,65.3,6.0,19.94,['Support'],134,57.46,29.85,2018-03-30
2018,Spring_Season,Jarvan IV,116,86.6,65,51,11,26,25,51.0,2.16,2.96,8.53,3.61,154.08,4.91,11.31,365.94,80.0,16.2,19.94,['Jungler'],134,48.51,38.06,2018-04-07
2018,Spring_Season,Sejuani,112,83.6,51,61,13,28,33,45.9,1.69,2.54,7.54,3.63,149.75,4.82,10.1,327.0,73.1,13.4,17.6,['Jungler'],134,38.06,45.52,2018-03-07
2018,Spring_Season,Azir,102,76.1,51,51,10,25,26,49.0,3.2,2.57,4.35,2.94,327.75,9.99,13.9,425.0,62.0,26.2,22.8,['Mid Laner'],134,38.06,38.06,2018-03-04
2018,Spring_Season,Kalista,96,71.6,58,38,8,20,18,52.6,4.68,2.05,4.37,4.41,320.66,10.18,14.2,452.0,72.0,37.2,24.0,['Bot Laner'],134,43.28,28.36,2018-02-12
2018,Spring_Season,Braum,93,69.4,45,48,10,20,28,41.7,0.5,3.1,7.31,2.52,75.23,2.35,11.31,365.94,64.8,4.1,19.94,['Support'],134,33.58,35.82,2018-01-21
2018,Spring_Season,Kha'Zix,91,67.9,57,34,8,22,12,64.7,3.5,2.85,5.15,3.03,179.79,5.32,11.8,350.0,61.4,24.8,18.4,['Jungler'],134,42.54,25.37,2018-04-02
2018,Spring_Season,Zoe,88,65.7,72,16,7,9,7,56.3,4.0,2.19,5.56,4.37,308.69,8.69,14.4,405.0,63.7,26.7,21.3,"['Mid Laner', 'Support']",134,53.73,11.94,2018-03-09
2018,Spring_Season,Ornn,86,64.2,27,59,15,28,31,47.5,1.85,2.68,6.37,3.07,243.95,7.53,11.31,365.94,61.5,13.8,19.94,"['Top Laner', 'Support', 'Bot Laner']",134,20.15,44.03,2018-03-25
2018,Spring_Season,Taliyah,82,61.2,50,32,8,14,18,43.8,3.72,3.09,6.31,3.24,289.5,9.11,11.31,365.94,69.6,25.8,19.94,['Mid Laner'],134,37.31,23.88,2018-02-17
2018,Spring_Season,Varus,79,59.0,37,42,9,17,25,40.5,3.4,2.24,5.02,3.77,323.83,10.11,13.9,435.0,68.1,27.5,23.6,['Bot Laner'],134,27.61,31.34,2018-02-24
