Year,Tournamment,Team,Player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G.1,G/M,KPAR,KS,GS,CP,Champs,total_games,max_G/M,max_CS/M,max_KDA,max_KPAR
2018,Spring_Season,Cherry Esports,Artifact,34,17,17,50.0,4.44,2.74,4.29,3.19,330.53,9.95,14.6,439.0,65.9,33.5,23.7,11,"Azir, Ryze, Vladimir",134,464.0,10.86,7.8,76.3
2018,Spring_Season,Cherry Esports,Clear,34,17,17,50.0,3.62,2.29,4.68,3.62,322.29,9.7,14.4,435.0,62.5,27.3,23.4,8,"Caitlyn, Ezreal, Kog'Maw",134,464.0,10.86,7.8,76.3
2018,Spring_Season,Cherry Esports,Kidz,34,17,17,50.0,0.79,2.97,7.71,2.86,58.18,1.75,9.1,273.0,64.1,6.0,14.7,10,"Braum, Tahm Kench, Janna",134,464.0,10.86,7.8,76.3
2018,Spring_Season,Cherry Esports,Potm,34,17,17,50.0,2.41,2.85,6.74,3.21,161.68,4.87,11.1,334.0,69.0,18.2,18.0,9,"Kha'Zix, Sejuani, Lee Sin",134,464.0,10.86,7.8,76.3
2018,Spring_Season,Cherry Esports,Boong,13,5,8,38.5,2.38,2.85,5.15,2.65,268.85,7.85,12.6,368.0,55.7,17.6,19.6,8,"Ornn, Gnar, Rumble",134,464.0,10.86,7.8,76.3
2018,Spring_Season,Cherry Esports,Rika,11,7,4,63.6,2.45,2.45,5.09,3.07,283.55,7.92,13.8,386.0,50.6,16.5,20.6,8,"Ornn, Gnar, Camille",134,464.0,10.86,7.8,76.3
2018,Spring_Season,Cherry Esports,Ikaros,9,5,4,55.6,1.0,3.33,5.11,1.83,233.89,8.04,11.0,379.0,52.4,8.6,20.8,6,"Sion, Gangplank, Illaoi",134,464.0,10.86,7.8,76.3
2018,Spring_Season,Cherry Esports,BaRoiBeo,1,0,1,0.0,1.0,4.0,1.0,0.5,169.0,5.95,8.1,284.0,33.3,16.7,18.5,1,Shen,134,464.0,10.86,7.8,76.3
2018,Spring_Season,EVOS Esports,RonOP,33,26,7,78.8,0.82,2.18,8.82,4.42,60.85,1.87,11.22,363.02,65.6,5.6,19.84,11,"Taric, Braum, Alistar",134,464.0,10.86,7.8,76.3
2018,Spring_Season,EVOS Esports,Slay,33,26,7,78.8,3.88,1.76,5.27,5.21,320.39,9.86,11.22,363.02,62.3,26.4,19.84,7,"Ezreal, Kalista, Kog'Maw",134,464.0,10.86,7.8,76.3
2018,Spring_Season,EVOS Esports,Stark,33,26,7,78.8,2.88,2.55,6.03,3.5,295.21,9.08,11.22,363.02,60.6,19.6,19.84,9,"Gnar, Camille, Cho'Gath",134,464.0,10.86,7.8,76.3
2018,Spring_Season,EVOS Esports,Warzone,33,26,7,78.8,3.91,1.39,5.06,6.43,323.18,9.94,11.22,363.02,61.0,26.6,19.84,11,"Azir, Ryze, Zoe",134,464.0,10.86,7.8,76.3
2018,Spring_Season,EVOS Esports,YiJin,33,26,7,78.8,3.21,2.12,7.12,4.87,211.82,6.52,11.22,363.02,70.3,21.9,19.84,12,"Sejuani, Kha'Zix, Jarvan IV",134,464.0,10.86,7.8,76.3
2018,Spring_Season,Friends Forever Gaming,Celebrity,35,13,22,37.1,4.63,2.6,3.11,2.98,313.06,10.19,13.9,453.0,70.4,42.1,25.4,8,"Tristana, Ezreal, Varus",134,464.0,10.86,7.8,76.3
2018,Spring_Season,Friends Forever Gaming,KingJ,34,13,21,38.2,1.94,2.53,4.47,2.53,237.79,7.82,11.1,367.0,58.8,17.8,20.6,11,"Ornn, Sion, Fiora",134,464.0,10.86,7.8,76.3
2018,Spring_Season,Friends Forever Gaming,Sergh,34,12,22,35.3,0.53,3.26,6.59,2.18,53.65,1.74,8.0,259.0,65.1,4.8,14.6,10,"Braum, Shen, Tahm Kench",134,464.0,10.86,7.8,76.3
2018,Spring_Season,Friends Forever Gaming,Lies,33,12,21,36.4,2.3,2.7,5.33,2.83,264.12,8.63,11.8,384.0,69.0,20.8,21.5,10,"Ryze, Taliyah, Cassiopeia",134,464.0,10.86,7.8,76.3
2018,Spring_Season,Friends Forever Gaming,Heaven,22,9,13,40.9,1.45,2.95,5.14,2.23,143.82,4.73,9.7,318.0,66.8,14.7,17.6,8,"Sejuani, Kha'Zix, Jarvan IV",134,464.0,10.86,7.8,76.3
