,ID,Name,Artist,Release_Date,duration_ms,score,num_sp_playlists,sp_popularity,sp_streams,weekly_sp_stream,monthly_sp_streams
0,6Aw82MRY3us04FJAg2My0g,IDOL HÀN QUỐC,"['RAP VIỆT', 'Coolkid']",2024-12-09,196056,1,49,29,153270,4150,18159
1,7CSJO1ZNts8tPU1CBko3Df,HƠI BỊ NGHỆ,"['RAP VIỆT', '7dnight']",2024-12-09,181565,1,47,29,135212,4308,18599
2,7duFgOvdxwves0XMgLdC4v,TRÁCH NHIỆM,"['RAP VIỆT', 'MANBO', 'Phạm Anh Duy']",2024-12-09,212000,1,25,25,93849,2017,8647
3,7vKjOiBl4LiaQaPM3M0UwW,HUSTLANG ALL DAY,"['RAP VIỆT', 'Hustlang Robber']",2024-12-09,271000,39,302,49,1854694,102883,384904
4,6oEFuXorze3KjKqqF61F4W,SAO,"['RAP VIỆT', 'Saabirose']",2024-12-09,195310,1,39,31,185700,5069,21691
5,4QkTMKgtkI6P9v9NRzSswS,CHỜ MỘT NGƯỜI,"['RAP VIỆT', 'Gill', 'Captain']",2024-12-09,259010,37,236,51,2038501,138417,549843
6,0YCqkrgh3fgJ6acfSlYMJN,HIGH TOWN,"['RAP VIỆT', 'DANMY']",2024-12-09,200000,1,30,24,76107,1733,7318
14,6oM5eYPyEKMwQUCqnSCpqm,ĐIỀU ƯỚC,"['RAP VIỆT', 'Nhật Hoàng']",2024-10-24,197647,1,61,28,239306,4029,15706
15,0BgiYF1s7xmqnjjtx8PAhS,GIÔNG BÃO,"['RAP VIỆT', 'DANMY']",2024-10-24,200625,2,43,24,146309,1827,7321
16,2jcdws2044suWnDo8DTcKC,NẮNG,"['RAP VIỆT', 'CoolKid']",2024-10-24,158260,8,246,40,1274961,24868,100976
17,40nIfOvCoTIWMeiO1sPJgy,BEAUTIFUL,"['RAP VIỆT', 'YP']",2024-10-24,182000,2,21,19,88070,514,2068
18,1opTGnDrpFWQYvmWXfr5ed,GIẤC MƠ TUYỆT VỜI,"['RAP VIỆT', 'MRZ']",2024-10-24,191688,2,26,19,91452,602,2557
19,5iHLsNUGfGzNdVsdGvAkSA,VÔ TƯ ĐI,"['RAP VIỆT', 'Queen B']",2024-10-24,181589,1,45,22,135034,1488,6125
20,6q6J1Pxf7OqIzWE1lHgroP,TRÁI TIM MUỐN NÓI,"['RAP VIỆT', 'BILLY100']",2024-10-24,185806,2,44,21,84560,1429,5729
35,6BavtfnEWckd1rUSAFkRaB,BA ƠI,"['RAP VIỆT', 'Hustlang Robber']",2024-10-14,218400,4,231,38,832281,17564,69396
